run_id,request_id,seq,warmup,path,model,prompt_id,loss_pct,delay_ms,condition,wall_start,wall_end,ttft_ms,total_ms,connect_ms,headers_ms,tokens,eval_count,tokens_per_s,ok,failure,detail,loadavg_1m
m5-gate,a7b0d54067b5,4,0,ran,qwen2.5:0.5b,short,0,0,after,1789617458.950117,1789617459.098239,51.482,147.967,22.764,51.449,24,25,238.38,1,,,4.56
m5-gate,0d5a1c9a6bc1,5,0,ran,qwen2.5:0.5b,short,0,0,after,1789617459.598473,1789617459.756394,63.945,157.767,35.913,63.913,24,25,245.146,1,,,4.56
m5-gate,7d776705180f,6,0,ran,qwen2.5:0.5b,short,0,0,after,1789617460.256619,1789617460.392578,51.426,135.843,22.337,51.394,24,25,272.458,1,,,4.56
m5-gate,13d8e3c17ae8,7,0,ran,qwen2.5:0.5b,short,0,0,after,1789617460.892721,1789617461.037484,51.4,144.622,22.485,51.369,24,25,246.724,1,,,4.56
m5-gate,e0542c956d79,8,0,ran,qwen2.5:0.5b,short,0,0,after,1789617461.537681,1789617461.673856,49.194,136.075,18.837,49.161,24,25,264.73,1,,,4.56
m5-gate,af02a22f2fe6,9,0,ran,qwen2.5:0.5b,short,0,0,after,1789617462.174041,1789617462.327362,58.613,153.195,28.556,58.584,24,25,243.175,1,,,5.24
m5-gate,d8a9f387444a,10,0,ran,qwen2.5:0.5b,short,0,0,after,1789617462.827544,1789617462.987072,63.791,159.405,34.69,63.759,24,25,240.551,1,,,5.24
m5-gate,4466d398049e,11,0,ran,qwen2.5:0.5b,short,0,0,after,1789617463.487232,1789617463.622031,48.838,134.642,20.755,48.793,24,25,268.052,1,,,5.24
m5-gate,69e4236f2744,12,0,ran,qwen2.5:0.5b,short,0,0,after,1789617464.122245,1789617464.26282,55.539,140.419,26.362,55.507,24,25,270.969,1,,,5.24
m5-gate,d98a258c2718,13,0,ran,qwen2.5:0.5b,short,0,0,after,1789617464.763017,1789617464.914421,57.922,151.255,28.759,57.891,24,25,246.43,1,,,5.24
m5-gate,5173084150e5,14,0,ran,qwen2.5:0.5b,short,0,0,after,1789617465.414631,1789617465.575152,67.577,160.401,38.908,67.548,24,25,247.781,1,,,5.24
m5-gate,827110bf47e7,15,0,ran,qwen2.5:0.5b,short,0,0,after,1789617466.075344,1789617466.226449,63.898,150.956,36.348,63.866,24,25,264.19,1,,,5.24
m5-gate,24c5e33a35d7,16,0,ran,qwen2.5:0.5b,short,0,0,after,1789617466.726681,1789617466.861593,50.349,134.76,21.745,50.317,24,25,272.476,1,,,5.06
m5-gate,68e5f85cc2e5,17,0,ran,qwen2.5:0.5b,short,0,0,after,1789617467.361838,1789617467.50735,51.955,145.388,23.1,51.924,24,25,246.165,1,,,5.06
