run_id,request_id,seq,warmup,path,model,prompt_id,loss_pct,delay_ms,condition,wall_start,wall_end,ttft_ms,total_ms,connect_ms,headers_ms,tokens,eval_count,tokens_per_s,ok,failure,detail,loadavg_1m,prompt_nonce
m6-sweep,fbae71b26213,7,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622530.770657,1789622531.620174,275.799,849.409,118.848,275.769,52,53,88.911,1,,,6.13,bd7bd108
m6-sweep,bd28d97d79f2,8,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622532.120389,1789622533.175631,289.743,1055.144,135.99,289.701,71,72,91.455,1,,,6.13,4b7fb05d
m6-sweep,6a37b43ff0c7,9,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622533.675797,1789622534.720984,284.419,1045.084,129.046,284.387,70,71,90.71,1,,,6.13,df26678c
m6-sweep,18301e38b6ac,10,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622535.221243,1789622536.359086,288.58,1137.731,128.027,288.547,78,79,90.679,1,,,6.04,6f3a245f
m6-sweep,271f3f7a7664,11,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622536.859359,1789622537.714153,289.933,854.696,130.344,289.899,52,53,90.303,1,,,6.04,6b281908
m6-sweep,8eec2c482008,12,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622538.214414,1789622539.068929,282.506,854.388,131.533,282.46,52,53,89.179,1,,,6.04,16da125a
m6-sweep,6d0c47f7146f,13,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622539.569175,1789622540.575645,291.38,1006.39,135.318,291.348,65,66,89.509,1,,,6.04,003f8077
m6-sweep,d828b27f2c15,14,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622541.075842,1789622542.000532,292.743,924.569,134.217,292.713,58,59,90.215,1,,,5.79,b8b8aa40
m6-sweep,6f1afcc3ad2c,15,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622542.500764,1789622543.242055,295.082,741.172,134.617,295.043,41,42,89.668,1,,,5.79,54f8e6f8
m6-sweep,2786dca07ccc,16,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622543.742303,1789622544.788747,277.786,1046.364,123.689,277.753,70,71,89.776,1,,,5.79,b70df539
m6-sweep,35b9261a45c7,17,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622545.288956,1789622546.230778,280.646,941.741,121.677,280.617,61,62,90.759,1,,,6.61,1ca6995d
m6-sweep,6bac59545983,18,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622546.731005,1789622547.777194,280.741,1046.109,125.497,280.709,70,71,90.153,1,,,6.61,4ef38ad7
m6-sweep,d087ad8c82c7,19,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622548.277384,1789622549.142101,286.168,864.624,130.547,286.129,53,54,89.894,1,,,6.61,8ad76830
m6-sweep,43a9d3d67017,20,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622549.642343,1789622550.489391,292.025,846.949,129.382,291.991,52,53,91.905,1,,,6.61,e3ea5f69
m6-sweep,46a03f66151e,21,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622550.989645,1789622551.858379,290.498,868.629,131.2,290.426,53,54,89.945,1,,,6.40,c957b0ec
m6-sweep,51fde5f985c8,22,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622552.358614,1789622553.296937,288.305,938.215,127.184,288.25,63,64,95.398,1,,,6.40,36044256
m6-sweep,7ca7ffcbe1b7,23,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622553.797173,1789622554.616509,287.71,819.234,129.6,287.671,50,51,92.188,1,,,6.40,fd7cb894
m6-sweep,2b9ee0bd7feb,24,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622555.116727,1789622556.041897,279.124,925.082,124.978,279.072,63,64,95.982,1,,,6.40,1098de81
m6-sweep,077d63454595,25,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622556.54208,1789622557.454906,277.554,912.707,121.111,277.514,62,63,96.04,1,,,6.21,02bf0516
m6-sweep,a6bf0bbfec60,26,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622557.95514,1789622558.777383,285.285,822.123,128.427,285.241,52,53,95.001,1,,,6.21,0c0d7039
m6-sweep,0422bcf9db6e,27,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622559.277683,1789622560.113521,291.443,835.751,135.091,291.392,53,54,95.534,1,,,6.21,be920e0f
m6-sweep,d4b87c0d4500,28,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622560.613735,1789622561.434812,290.369,820.929,130.255,290.316,52,53,96.125,1,,,6.11,0d18bd4d
m6-sweep,60c9e56aea31,29,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622561.935148,1789622562.652493,275.999,717.258,118.565,275.963,43,44,95.182,1,,,6.11,87a74b73
m6-sweep,ae34d01ca85d,30,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622563.152731,1789622564.001374,275.144,848.536,122.168,275.108,56,57,95.92,1,,,6.11,cfa74606
m6-sweep,0be241ac14ca,31,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622564.501594,1789622565.210795,284.602,709.111,124.803,284.556,41,42,94.227,1,,,6.11,423a7976
m6-sweep,399705fb4817,32,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622565.711022,1789622566.524007,279.208,812.825,121.896,279.124,52,53,95.574,1,,,6.26,7724c1c9
m6-sweep,fcb8fe1f1e9f,33,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622567.024289,1789622567.995546,298.687,971.172,135.614,298.605,65,66,95.169,1,,,6.26,0234f714
m6-sweep,b9f8c93f717c,34,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622568.495842,1789622569.35961,296.765,863.639,122.575,296.712,52,53,89.967,1,,,6.26,76d567ab
m6-sweep,6ec6f9dadb55,35,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622569.859883,1789622571.154322,283.004,1294.298,124.936,282.963,99,100,96.906,1,,,6.24,93a3c0a8
m6-sweep,34da8cde6547,36,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622571.654512,1789622572.49911,301.059,844.477,140.385,301.019,52,53,93.85,1,,,6.24,6ae04813
m6-sweep,0c5733886589,37,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622573.001607,1789622573.840401,297.257,838.689,137.111,297.214,52,53,94.195,1,,,6.24,c39fb3f8
m6-sweep,d04d64570ae0,38,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622574.341732,1789622575.294236,290.644,952.368,129.684,290.599,58,59,86.139,1,,,6.24,450b80af
m6-sweep,63ca4843d973,39,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622575.795018,1789622576.73631,295.996,941.171,139.243,295.961,62,63,94.548,1,,,7.18,32743c39
