wall,cell,event,detail
1789630283.659,c101,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 10, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 809f: root refcnt 2 limit 1000 loss 10%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 80a0: root refcnt 2 limit 1000 loss 10%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789630411.721,c101,done,attempt 1
1789630412.777,c102,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 20, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 80a1: root refcnt 2 limit 1000 loss 20%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 80a2: root refcnt 2 limit 1000 loss 20%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789630609.333,c102,done,attempt 1
1789630610.383,c103,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 5, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 80a3: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 80a4: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789630727.973,c103,done,attempt 1
1789630729.026,c104,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 1, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 80a5: root refcnt 2 limit 1000 loss 1%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 80a6: root refcnt 2 limit 1000 loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789630799.003,c104,done,attempt 1
1789630800.057,c105,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 5, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 80a7: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 80a8: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789630863.59,c105,done,attempt 1
1789630864.561,c106,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": true, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789630880.787,c106,done,attempt 1
