wall,cell,event,detail
1789623853.387,c019,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 2, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 801d: root refcnt 2 limit 1000 loss 2%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 801e: root refcnt 2 limit 1000 loss 2%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789623930.112,c019,done,attempt 1
1789623931.156,c020,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 20, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 801f: root refcnt 2 limit 1000 loss 20%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 8020: root refcnt 2 limit 1000 loss 20%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789624026.698,c020,done,attempt 1
1789624027.73,c021,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 5, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8021: root refcnt 2 limit 1000 loss 5%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8022: root refcnt 2 limit 1000 loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789624096.214,c021,done,attempt 1
1789624097.182,c022,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": true, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789624113.536,c022,done,attempt 1
1789624114.58,c023,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 5, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8023: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8024: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789624175.882,c023,done,attempt 1
1789624175.961,c024,start,"{""path"": ""loopback"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789624245.045,c024,done,attempt 1
1789624245.12,c025,start,"{""path"": ""loopback"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789624280.585,c025,done,attempt 1
